new_index,neuron_id,body_id,type,side,column,row,col,lineage,birth,in_degree,out_degree,in_degree_new,out_degree_new,syn_in,syn_out,pre_types,post_types,pathways
0,850,850,T4b,L,46,5,6,T4b_L,48,0,3,0,0,0.0,31.0,,LPi_h:3,yaw
1,851,851,R1-R6,L,15,1,7,R1-R6_L,96,0,1,0,1,0.0,1.0,,PVLP:1,"brightness,→loom"
2,852,852,LAL_inh,L,4,0,4,LAL_inh_L,12,11,11,2,4,104.0,243.0,"haltere:7,PVLP:4",DNg02:11,"steer,←damping,←loom,→lift"
3,853,853,DNg02,L,3,0,3,DNg02_L,15,26,0,7,0,458.0,0.0,"haltere:8,LPi_v:6,LAL_inh:6,VS:5",,"lift,←descend,←yaw,←climb,←steer,←damping"
4,854,854,T4c,R,5,0,5,T4c_R,48,0,3,0,1,0.0,36.0,,VS:3,climb
5,855,855,T4d,R,39,4,7,T4d_R,48,0,3,0,0,0.0,30.0,,LPi_v:3,descend
6,856,856,T4b,L,47,5,7,T4b_L,49,0,3,0,0,0.0,27.0,,LPi_h:3,yaw
7,857,857,T4c,L,41,5,1,T4c_L,48,0,3,0,1,0.0,31.0,,VS:3,climb
8,858,858,T4a,L,31,3,7,T4a_L,48,0,2,0,0,0.0,19.0,,HS:2,yaw
9,859,859,T4d,R,15,1,7,T4d_R,49,0,3,0,1,0.0,39.0,,LPi_v:3,descend
10,860,860,T4c,R,20,2,4,T4c_R,49,0,3,0,0,0.0,25.0,,VS:3,climb
11,861,861,DNg02,L,0,0,0,DNg02_L,16,27,0,8,0,510.0,0.0,"VS:9,LAL_inh:9,haltere:4,LPi_v:3",,"lift,←descend,←yaw,←climb,←steer,←damping"
12,862,862,T4d,L,40,5,0,T4d_L,48,0,5,0,2,0.0,42.0,,LPi_v:5,descend
13,863,863,DNg02,R,9,1,1,DNg02_R,15,28,0,6,0,401.0,0.0,"VS:11,LAL_inh:8,haltere:4,HS:3",,"lift,←damping,←climb,←descend,←yaw,←steer"
14,864,864,T4c,L,17,2,1,T4c_L,49,0,5,0,2,0.0,55.0,,VS:5,climb
15,865,865,LPi_v,L,24,3,0,LPi_v_L,10,17,9,6,1,140.0,103.0,T4d:17,"DNg02:6,VS:3","descend,→climb,→lift"
16,866,866,T4d,L,43,5,3,T4d_L,49,0,3,0,0,0.0,28.0,,LPi_v:3,descend
17,867,867,T4a,L,37,4,5,T4a_L,49,0,1,0,0,0.0,23.0,,HS:1,yaw
18,868,868,R1-R6,L,47,5,7,R1-R6_L,97,0,0,0,0,0.0,0.0,,,brightness
19,869,869,R1-R6,R,7,0,7,R1-R6_R,96,0,2,0,1,0.0,2.0,,PVLP:2,"brightness,→loom"
